Operating Airline_,total_passengers,avg_passengers,median_passengers,Airline_count,International_A,International_G,Other_Other,Terminal 1_A,Terminal 1_B,Terminal 1_C,Terminal 2_D,Terminal 3_E,Terminal 3_F,2005_Fall,2005_Summer,2005_Winter,2006_Fall,2006_Spring,2006_Summer,2006_Winter,2007_Fall,2007_Spring,2007_Summer,2007_Winter,2008_Fall,2008_Spring,2008_Summer,2008_Winter,2009_Fall,2009_Spring,2009_Summer,2009_Winter,2010_Fall,2010_Spring,2010_Summer,2010_Winter,2011_Fall,2011_Spring,2011_Summer,2011_Winter,2012_Fall,2012_Spring,2012_Summer,2012_Winter,2013_Fall,2013_Spring,2013_Summer,2013_Winter,2014_Fall,2014_Spring,2014_Summer,2014_Winter,2015_Fall,2015_Spring,2015_Summer,2015_Winter,2016_Spring,2016_Winter,Cluster
Philippine Airlines,2644148,10248.635658914729,10335.5,258,258,0,0,0,0,0,0,0,0,55333,44671,20280,54648,68167,68193,61887,56586,75096,69843,70613,52209,72030,70166,68343,44870,57817,59094,61090,58319,68356,66891,62720,46681,65733,60067,62956,38942,65828,58449,58768,51417,61825,60515,58434,53745,65936,64782,66897,53954,64695,65932,65414,21334,44622,0
Qantas Airways,668823,4991.2164179104475,4946.0,134,134,0,0,0,0,0,0,0,0,0,0,0,20695,14924,37533,13154,33072,30312,42381,35121,31406,32725,34851,40115,29911,28776,35390,28019,25485,24518,27089,25584,0,19142,0,17697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4439,12465,24019,0
Republic Airlines,58772,2671.4545454545455,86.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8952,11440,37710,0,0,0,0,0,0,0,0,0,210,0,0,0,78,0,129,151,0,0,0,102,0,0,0
SAS Airlines,422341,5865.847222222223,5966.5,72,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33637,21076,37791,8414,37908,33177,44187,25497,39833,36341,44251,28858,11886,19485,0
Servisair,2504,104.33333333333333,76.0,24,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,118,0,162,64,976,40,57,222,248,134,75,335,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore Airlines,3804635,14746.647286821706,14657.0,258,0,30,0,0,0,0,0,0,0,92911,72983,35074,90312,94157,109429,100252,86602,99689,106695,96935,81310,89988,100288,89757,78270,70515,85103,77350,83251,85590,89612,82305,75703,81230,88193,81289,88080,86156,93673,86508,86025,93062,93673,104405,76706,84504,91992,84487,79743,82494,91828,77719,25360,53427,1
SkyWest Airlines,6507642,24720.94379844961,10085.0,609,2,30,0,0,0,0,0,0,0,138332,103602,40850,128787,134482,164877,115395,149582,150240,169467,129902,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,53972,104615,1
Southwest Airlines,6507642,24720.94379844961,20880.8,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149582,0,18701,129902,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,53972,104615,1
Spirit Airlines,70105,2921.0416666666665,3240.5,24,24,0,0,0,0,0,0,0,0,0,0,0,18864,1516,20948,0,983,5663,22131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Country Airlines,998163,3992.652,3580.0,250,129,18,0,0,0,0,0,0,0,21913,19048,8464,21053,21119,26880,16549,29347,18514,33569,20495,2724,15980,26188,14877,7615,4057,22355,7137,17491,1789,20988,10336,18887,7018,31389,8089,22865,17981,32846,17074,31499,19138,44167,24213,37255,24526,51861,24527,43249,32418,65531,31751,7207,16184,0
Swiss International,842568,6061.640287769784,6186.0,139,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31782,0,33335,10203,35615,35475,39335,29288,36048,36402,38989,30880,36697,38677,39586,33950,36463,38144,39174,27819,37099,37269,54255,33146,11533,21404,0
Swissport USA,3069,255.75,216.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,1259,276,430,234,211,0,216,0,0,0,0,0,0,0
TACA,1307079,5066.197674418605,4946.0,258,234,24,0,0,0,0,0,0,0,23247,25840,12907,20766,26621,33420,30448,27385,26895,44050,31322,23269,20788,26681,29381,21974,24179,31742,29276,25192,23912,35887,29194,27490,30069,36619,31006,28241,30233,38458,33848,27708,31541,36778,33083,32719,30140,32248,32491,27953,30874,41570,36095,10591,22948,0
Turkish Airlines,195898,8162.416666666667,8539.5,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52137,23167,53131,16870,17594,32999,0
US Airways,6507642,24720.94379844961,20880.8,304,0,0,0,0,0,0,0,0,0,138332,103602,40850,128787,134482,164877,115395,149582,150240,169467,129902,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,0,0,1
United Airlines,6507642,24720.94379844961,20880.8,609,0,30,0,0,0,0,0,0,0,138332,103602,40850,128787,134482,164877,115395,149582,150240,169467,129902,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,53972,104615,1
United Airlines - Pre 07/01/2013,6507642,24720.94379844961,12196.0,609,0,30,0,0,0,0,0,0,0,138332,103602,40850,128787,134482,164877,115395,149582,150240,169467,129902,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,0,148682,162577,143700,0,0,0,0,0,0,0,0,0,0,1
Virgin America,6507642,24720.94379844961,20880.8,362,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149582,0,33761,77575,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,53972,104615,1
